City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saint George,US,37.1041,-113.5841,68.34,31,1,1.99,clear sky
80,Tuktoyaktuk,CA,69.4541,-133.0374,11.23,96,34,3.62,scattered clouds
81,Nishihara,JP,26.1842,127.7558,76.66,74,90,9.22,overcast clouds
82,Georgetown,MY,5.4112,100.3354,87.89,75,20,4.61,few clouds
83,Faya,SA,18.3851,42.4509,52.32,41,0,1.88,clear sky
84,Mahebourg,MU,-20.4081,57.7,79.25,78,75,10.36,broken clouds
85,Ferme-Neuve,CA,46.7001,-75.4493,44.38,92,97,1.83,overcast clouds
86,Fairbanks,US,64.8378,-147.7164,24.76,89,90,0.0,light snow
87,Ribeira Grande,PT,38.5167,-28.7,69.51,85,52,23.11,broken clouds
88,Portland,US,45.5234,-122.6762,47.75,92,90,4.0,overcast clouds
89,Bushehr,IR,28.9684,50.8385,77.02,56,0,5.68,clear sky
90,Woodstock,CA,43.1334,-80.7497,47.53,86,38,5.99,scattered clouds
91,Halifax,CA,44.6453,-63.5724,48.25,95,59,2.3,broken clouds
92,Lebu,CL,-37.6167,-73.65,52.27,94,69,8.81,broken clouds
93,Buala,SB,-8.145,159.5921,86.27,58,80,7.09,broken clouds
94,Rundu,NA,-17.9333,19.7667,70.75,63,94,5.26,overcast clouds
95,Cherskiy,RU,68.75,161.3,1.27,99,94,4.25,overcast clouds
96,Morant Bay,JM,17.8815,-76.4093,82.02,84,78,2.73,broken clouds
97,Shihezi,CN,44.3,86.0333,24.3,62,3,3.13,clear sky
98,Kavieng,PG,-2.5744,150.7967,85.41,68,8,16.04,clear sky
99,Dillon,US,34.4166,-79.3712,48.65,46,65,10.78,broken clouds
100,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.57,90,86,1.43,overcast clouds
101,Inhambane,MZ,-23.865,35.3833,74.98,80,51,1.01,broken clouds
102,Demba,CD,-5.51,22.2667,67.15,95,89,0.72,overcast clouds
103,Padang,ID,-0.9492,100.3543,82.45,70,98,6.4,light rain
104,Rehoboth,NA,-23.3167,17.0833,59.27,18,45,12.08,scattered clouds
105,Tyshkivka,UA,48.4967,30.9423,47.53,88,89,4.7,overcast clouds
106,Adrar,MR,20.5022,-10.0711,67.96,26,89,6.93,overcast clouds
107,Aksu,CN,41.1231,80.2644,32.95,24,0,1.39,clear sky
108,Upernavik,GL,72.7868,-56.1549,9.75,74,4,6.13,clear sky
109,Bredasdorp,ZA,-34.5322,20.0403,50.29,79,84,2.98,broken clouds
110,Mayo,US,38.8876,-76.5119,51.17,74,1,4.0,clear sky
111,Katangli,RU,51.7102,143.2326,30.54,43,30,12.71,scattered clouds
112,Fochabers,GB,57.6136,-3.0957,43.9,82,0,5.75,clear sky
113,Visnes,NO,59.3556,5.2242,46.45,93,90,11.5,light rain
114,Beyneu,KZ,45.3167,55.2,37.99,27,99,8.81,overcast clouds
115,Afua,BR,-0.1567,-50.3867,75.42,93,100,3.94,overcast clouds
116,Butaritari,KI,3.0707,172.7902,81.88,71,17,9.73,few clouds
117,Caranavi,BO,-15.8167,-67.55,63.48,92,100,0.56,overcast clouds
118,Gigmoto,PH,13.7796,124.39,82.94,85,100,11.39,overcast clouds
119,Souillac,MU,-20.5167,57.5167,79.36,76,53,11.1,broken clouds
120,Laguna,US,38.421,-121.4238,53.44,72,1,3.44,clear sky
121,Yantal,RU,56.8471,105.2542,33.19,94,100,13.13,light snow
122,Vinh,VN,18.6667,105.6667,64.27,82,100,12.01,overcast clouds
123,Jamestown,US,42.097,-79.2353,47.71,88,1,3.44,clear sky
124,Zigong,CN,29.3416,104.7769,54.21,48,53,7.16,broken clouds
125,Morden,CA,49.1919,-98.1014,44.44,65,64,8.05,broken clouds
126,Narsaq,GL,60.9167,-46.05,30.42,83,100,1.68,overcast clouds
127,Seoul,KR,37.5683,126.9778,47.71,71,90,11.5,overcast clouds
128,Saldanha,ZA,-33.0117,17.9442,57.25,76,86,20.22,overcast clouds
129,Sawtell,AU,-30.3833,153.1,77.02,65,90,6.91,overcast clouds
130,Kendari,ID,-3.945,122.4989,88.45,61,56,5.23,broken clouds
131,San Patricio,US,28.017,-97.5169,70.83,74,0,6.64,clear sky
132,Jevnaker,NO,60.2414,10.385,35.69,98,100,1.32,overcast clouds
133,Lyuban,BY,52.7985,28.0048,44.69,80,100,14.9,overcast clouds
134,Kruisfontein,ZA,-34.0033,24.7314,56.88,89,100,3.44,overcast clouds
135,Grand Baie,MU,-20.0182,57.5802,79.45,71,14,10.0,few clouds
136,Lorengau,PG,-2.0226,147.2712,84.45,72,37,10.78,scattered clouds
137,Torrington,US,41.8007,-73.1212,44.24,77,100,4.18,overcast clouds
138,Karratha,AU,-20.7377,116.8463,81.7,42,14,19.84,few clouds
139,Mount Isa,AU,-20.7333,139.5,87.57,55,65,12.66,broken clouds
140,Port-Cartier,CA,50.0334,-66.8654,43.75,78,98,7.07,overcast clouds
141,Clearlake,US,38.9582,-122.6264,45.82,66,19,3.83,few clouds
142,Hvide Sande,DK,56.0045,8.1294,48.0,83,100,10.69,overcast clouds
143,Ahipara,NZ,-35.1667,173.1667,64.36,83,47,5.28,scattered clouds
144,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,62,0,10.36,clear sky
145,Launceston,AU,-41.45,147.1667,68.61,49,40,4.0,scattered clouds
146,Codrington,AU,-38.2667,141.9667,59.67,58,84,10.78,broken clouds
147,Budureasa,RO,46.6667,22.5,43.21,99,99,4.14,overcast clouds
148,Bonthe,SL,7.5264,-12.505,77.13,87,17,2.17,light rain
149,Saskylakh,RU,71.9167,114.0833,15.13,92,100,8.81,overcast clouds
150,Namibe,AO,-15.1961,12.1522,66.65,81,92,5.17,overcast clouds
151,Cuiluan,CN,47.72,128.648,27.03,88,100,13.04,snow
152,Mersin,TR,36.862,34.6509,54.75,29,43,3.69,scattered clouds
153,Dikson,RU,73.5069,80.5464,8.92,95,99,1.39,overcast clouds
154,Harper,LR,4.375,-7.7169,78.26,88,95,5.66,light rain
155,Meulaboh,ID,4.1363,96.1285,75.6,96,100,6.58,overcast clouds
156,Airai,TL,-8.9266,125.4092,73.0,71,92,0.67,overcast clouds
157,Caceres,ES,39.522,-6.3748,44.28,70,3,2.15,clear sky
158,Hami,CN,42.8,93.45,31.73,33,2,6.71,clear sky
159,Sinnamary,GF,5.3833,-52.95,78.69,87,100,10.2,overcast clouds
160,Alekseyevskaya,RU,50.2896,42.1845,42.89,79,99,8.23,overcast clouds
161,Yumen,CN,40.2833,97.2,28.11,26,17,13.02,few clouds
162,Hopkinsville,US,36.8656,-87.4886,44.78,73,7,4.72,clear sky
163,Paka,MY,4.6374,103.4368,89.53,66,40,4.61,scattered clouds
164,Bilma,NE,18.6853,12.9164,72.1,19,30,4.79,scattered clouds
165,Luderitz,NA,-26.6481,15.1594,55.63,82,0,8.61,clear sky
166,Masoko,TZ,-9.3333,33.75,71.49,45,79,3.4,broken clouds
167,Bonavista,CA,48.6499,-53.1147,48.11,85,79,11.83,broken clouds
168,Scarborough,GB,54.2797,-0.4044,41.9,85,98,1.99,overcast clouds
169,Tibiri,NE,13.5627,7.0485,77.22,19,10,7.0,clear sky
170,Lagunillas,VE,10.1301,-71.2595,78.51,83,100,5.32,overcast clouds
171,Ostrovnoy,RU,68.0531,39.5131,22.21,91,99,11.03,light snow
172,Abonnema,NG,4.7084,6.7931,76.21,91,100,3.83,overcast clouds
173,Sungaipenuh,ID,-2.0833,101.3833,80.37,59,98,5.06,overcast clouds
174,Klaksvik,FO,62.2266,-6.589,45.52,83,99,25.3,overcast clouds
175,Esperance,AU,-33.8667,121.9,65.08,57,100,14.85,overcast clouds
176,Marrakesh,MA,31.6315,-8.0083,42.87,65,0,3.44,clear sky
177,Talaya,RU,61.3833,152.75,9.72,95,100,5.75,light snow
178,Ocho Rios,JM,18.4025,-77.1048,82.15,83,23,3.36,few clouds
179,Hithadhoo,MV,-0.6,73.0833,82.76,70,98,13.56,overcast clouds
180,Faanui,PF,-16.4833,-151.75,79.36,75,23,10.51,light rain
181,Benguela,AO,-12.5763,13.4055,74.57,83,100,3.94,overcast clouds
182,Fundao,BR,-19.9341,-40.4047,70.54,92,100,1.77,overcast clouds
183,Haines Junction,CA,60.7522,-137.5108,18.09,67,8,2.26,clear sky
184,General Pico,AR,-35.6566,-63.7568,58.75,62,1,8.37,clear sky
185,Buraydah,SA,26.326,43.975,59.45,32,0,7.34,clear sky
186,Tura,IN,25.5198,90.2201,76.12,54,63,0.27,broken clouds
187,Te Anau,NZ,-45.4167,167.7167,67.03,51,86,4.41,light rain
188,Sao Filipe,CV,14.8961,-24.4956,77.85,74,100,7.56,overcast clouds
189,Urucara,BR,-2.5364,-57.76,75.36,88,79,1.25,broken clouds
190,Luanda,AO,-8.8368,13.2343,75.2,83,75,5.75,light rain
191,Ilulissat,GL,69.2167,-51.1,12.22,52,5,16.11,clear sky
192,Moree,AU,-29.4667,149.85,82.42,39,40,14.97,scattered clouds
193,Lompoc,US,34.6391,-120.4579,61.21,65,1,5.75,clear sky
194,Giyon,ET,8.5333,37.9833,57.11,52,91,5.26,overcast clouds
195,Bethel,US,41.3712,-73.414,47.01,74,1,3.44,clear sky
196,Wanning,CN,18.8003,110.3967,72.07,87,69,16.11,broken clouds
197,Ancud,CL,-41.8697,-73.8203,53.42,94,94,2.44,overcast clouds
198,Bilibino,RU,68.0546,166.4372,-3.96,99,64,3.85,broken clouds
199,Fairview,US,40.8126,-73.999,52.27,58,1,4.61,clear sky
200,Lata,PT,40.1629,-8.3327,51.08,65,99,4.09,overcast clouds
201,Boljoon,PH,9.6281,123.4785,85.32,76,24,10.92,few clouds
202,Shahpura,IN,27.3833,75.9667,78.13,26,20,2.33,few clouds
203,Necochea,AR,-38.5473,-58.7368,53.04,88,58,12.73,broken clouds
204,Vila Velha,BR,-20.3297,-40.2925,70.95,90,90,3.44,overcast clouds
205,Christchurch,NZ,-43.5333,172.6333,67.48,74,75,3.0,broken clouds
206,Beruwala,LK,6.4788,79.9828,79.16,84,100,13.4,overcast clouds
207,Hovd,MN,48.0056,91.6419,24.48,39,0,1.81,clear sky
208,Helena,US,46.5927,-112.0361,29.41,63,1,3.0,clear sky
209,Nuuk,GL,64.1835,-51.7216,21.81,79,20,9.22,few clouds
210,Dingle,PH,10.9995,122.6711,86.5,74,42,12.15,scattered clouds
211,Tuatapere,NZ,-46.1333,167.6833,65.34,55,99,4.76,overcast clouds
212,Yining,CN,29.0361,114.5636,52.88,35,45,2.95,scattered clouds
213,Rosarito,MX,32.3333,-117.0333,58.12,82,1,3.62,clear sky
214,Palauig,PH,15.435,119.9045,87.44,63,16,5.66,few clouds
215,Flin Flon,CA,54.7682,-101.865,32.45,77,96,2.46,overcast clouds
216,Hamilton,US,39.1834,-84.5333,50.04,75,20,3.44,few clouds
217,Rio Blanco,MX,18.8333,-97.15,60.75,98,100,3.91,overcast clouds
218,Bull Savanna,JM,17.8868,-77.5902,74.88,84,43,3.94,scattered clouds
219,Acari,PE,-15.4311,-74.6158,67.26,75,62,2.59,broken clouds
220,Waipawa,NZ,-41.4122,175.5153,65.3,70,26,6.35,scattered clouds
221,Dudinka,RU,69.4058,86.1778,11.95,95,100,6.49,overcast clouds
222,Krasnoturinsk,RU,59.7666,60.2086,30.58,77,31,8.43,scattered clouds
223,Bhadasar,IN,28.2833,74.3167,79.7,21,0,1.14,clear sky
224,Okhotsk,RU,59.3833,143.3,9.57,71,32,22.62,scattered clouds
225,Rawson,AR,-43.3002,-65.1023,59.65,54,100,4.41,overcast clouds
226,Bershet,RU,57.7309,56.3783,33.06,77,100,9.1,overcast clouds
227,Walvis Bay,NA,-22.9575,14.5053,53.1,87,4,3.44,clear sky
228,Saint-Prosper,CA,46.2117,-70.4811,40.32,81,73,3.76,broken clouds
229,Emmett,US,43.8735,-116.4993,41.76,53,37,5.68,scattered clouds
230,Aksarka,RU,66.5606,67.7975,14.31,92,100,4.85,overcast clouds
231,Puerto Ayora,EC,-0.7393,-90.3518,69.35,81,37,7.74,scattered clouds
232,Aden,YE,12.7794,45.0367,81.99,63,9,14.99,clear sky
233,Teknaf,BD,20.8624,92.3058,81.95,60,79,3.85,broken clouds
234,Nanortalik,GL,60.1432,-45.2371,30.27,63,100,1.52,overcast clouds
235,Tiksi,RU,71.6872,128.8694,13.89,78,100,25.48,overcast clouds
236,Carnarvon,AU,-24.8667,113.6333,75.27,50,40,17.27,scattered clouds
237,East London,ZA,-33.0153,27.9116,61.74,100,90,8.05,moderate rain
238,Senador Jose Porfirio,BR,-2.5908,-51.9542,76.86,81,100,1.99,overcast clouds
239,Port-Gentil,GA,-0.7193,8.7815,78.66,85,98,11.77,light rain
240,Makakilo City,US,21.3469,-158.0858,79.12,66,20,10.36,few clouds
241,Vestmannaeyjar,IS,63.4427,-20.2734,42.12,84,100,42.57,overcast clouds
242,Dasoguz,TM,41.8363,59.9666,28.51,46,0,0.0,clear sky
243,Bairiki,KI,1.3292,172.9752,86.0,70,40,6.91,scattered clouds
244,Mareeba,AU,-17.0,145.4333,90.45,59,83,9.19,broken clouds
245,Kununurra,AU,-15.7667,128.7333,87.78,66,75,14.97,thunderstorm
246,Fortuna,US,40.5982,-124.1573,45.43,73,1,0.0,clear sky
247,San Blas,MX,21.5167,-105.2667,76.39,85,30,2.08,scattered clouds
248,Aparecida Do Taboado,BR,-20.0867,-51.0936,76.21,72,19,3.27,few clouds
249,San Jeronimo,PE,-11.9472,-75.2829,50.88,81,100,4.05,overcast clouds
250,Dunedin,NZ,-45.8742,170.5036,64.8,68,58,7.29,broken clouds
251,Mao,ES,39.8885,4.2658,55.96,88,75,16.11,broken clouds
252,Hobyo,SO,5.3505,48.5268,80.19,64,36,11.5,scattered clouds
253,Ponta Do Sol,PT,32.6667,-17.1,66.83,66,13,5.66,few clouds
254,Ucluelet,CA,48.9329,-125.5528,41.09,89,90,11.61,overcast clouds
255,Fiumicino,IT,41.7675,12.2291,63.07,61,27,11.99,scattered clouds
256,Domat,CH,46.8348,9.4508,42.08,77,75,1.83,broken clouds
257,Ponta Delgada,PT,37.7333,-25.6667,69.49,77,40,13.8,scattered clouds
258,Pilar,BR,-9.5972,-35.9567,78.73,96,35,4.97,scattered clouds
259,Tabou,CI,4.423,-7.3528,77.7,89,97,4.92,light rain
260,Bezhetsk,RU,57.7851,36.6965,39.49,97,100,12.33,light rain
261,Chuguyevka,RU,44.1653,133.8633,47.71,71,100,7.02,overcast clouds
262,Qaanaaq,GL,77.484,-69.3632,2.43,70,63,7.85,broken clouds
263,Udachnyy,RU,66.4167,112.4,18.88,87,82,9.91,broken clouds
264,Sioux Lookout,CA,50.1001,-91.917,44.98,87,75,4.61,broken clouds
265,Avarua,CK,-21.2078,-159.775,75.25,69,40,10.36,scattered clouds
266,Isangel,VU,-19.55,169.2667,80.71,65,60,9.22,broken clouds
267,Salalah,OM,17.0151,54.0924,78.89,69,0,4.61,clear sky
268,Provideniya,RU,64.3833,-173.3,17.71,79,90,6.71,overcast clouds
269,Cidreira,BR,-30.1811,-50.2056,61.48,73,6,2.68,clear sky
270,Verkhnevilyuysk,RU,63.4453,120.3167,26.22,92,100,8.72,light snow
271,Djibo,BF,14.1022,-1.6306,81.57,18,49,6.58,scattered clouds
272,Byron Bay,AU,-28.65,153.6167,78.91,72,100,3.18,overcast clouds
273,Severo-Kurilsk,RU,50.6789,156.125,36.59,69,99,23.02,overcast clouds
274,Torbat-E Jam,IR,35.244,60.6225,43.23,30,21,2.93,few clouds
275,Idaho Falls,US,43.4666,-112.0341,36.63,69,1,8.05,clear sky
276,Marawi,PH,7.9986,124.2928,77.65,66,37,7.18,scattered clouds
277,Lannion,FR,48.75,-3.4167,51.42,93,90,1.14,overcast clouds
278,Fagernes,NO,60.9858,9.2324,38.26,98,100,1.74,overcast clouds
279,Chara,RU,56.9064,118.2631,12.9,73,98,0.87,overcast clouds
280,Torbay,CA,47.6666,-52.7314,47.26,87,90,13.8,overcast clouds
281,Chissamba,AO,-12.1667,17.3333,62.98,84,100,4.63,overcast clouds
282,Burns Lake,CA,54.2331,-125.7533,26.02,75,94,3.49,overcast clouds
283,Aklavik,CA,68.2191,-135.0107,18.32,96,93,5.44,overcast clouds
284,Finale Ligure,IT,44.1695,8.3436,61.86,55,87,1.01,overcast clouds
285,Santa Maria,BR,-29.6842,-53.8069,60.1,82,0,8.05,clear sky
286,Kuching,MY,1.55,110.3333,89.82,62,40,4.61,scattered clouds
287,Port Lincoln,AU,-34.7333,135.8667,61.25,56,96,8.81,overcast clouds
288,Cochrane,CA,51.1834,-114.4687,34.21,40,1,11.5,clear sky
289,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,75,10.36,broken clouds
290,Nizhneangarsk,RU,55.7833,109.55,29.55,86,100,12.5,light snow
291,Baruun-Urt,MN,46.6806,113.2792,26.33,48,7,7.65,clear sky
292,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,13.8,scattered clouds
293,Aquiraz,BR,-3.9014,-38.3911,81.18,81,38,7.92,scattered clouds
294,Gat,IL,31.61,34.7642,71.4,32,0,1.14,clear sky
295,Kaabong,UG,3.4836,34.1492,66.94,71,45,8.21,scattered clouds
296,Katsuura,JP,35.1333,140.3,68.14,55,60,16.04,broken clouds
297,Kieta,PG,-6.2167,155.6333,85.95,56,22,5.28,few clouds
298,Rantauprapat,ID,2.1,99.8333,89.33,57,98,3.18,overcast clouds
299,Brae,GB,60.3964,-1.353,40.91,66,98,3.6,overcast clouds
300,Tommot,RU,58.9564,126.2925,24.58,62,100,7.56,overcast clouds
301,Leningradskiy,RU,69.3833,178.4167,10.62,82,71,10.4,broken clouds
