City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,San Blas,MX,76.39,scattered clouds,21.5167,-105.2667,Hotel Posada del Rey
248,Aparecida Do Taboado,BR,76.21,few clouds,-20.0867,-51.0936,Aritana
252,Hobyo,SO,80.19,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
258,Pilar,BR,78.73,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
259,Tabou,CI,77.7,light rain,4.423,-7.3528,hotêl doufoulougou
265,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Little Polynesian Resort
266,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
267,Salalah,OM,78.89,clear sky,17.0151,54.0924,Al Jabal
271,Djibo,BF,81.57,scattered clouds,14.1022,-1.6306,Centre Des Ressources DPENA
272,Byron Bay,AU,78.91,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
276,Marawi,PH,77.65,scattered clouds,7.9986,124.2928,Derogongan Residence
286,Kuching,MY,89.82,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
289,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Laguna Beach Hotel & Spa
292,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
293,Aquiraz,BR,81.18,scattered clouds,-3.9014,-38.3911,Hotel Laguna Blu
297,Kieta,PG,85.95,few clouds,-6.2167,155.6333,Uruna Bay Retreat
298,Rantauprapat,ID,89.33,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
302,Namatanai,PG,86.29,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
313,Gwadar,PK,77.59,clear sky,25.1216,62.3254,Sadaf Resort
318,Kalmunai,LK,80.55,light rain,7.4167,81.8167,VS Villa
688,Bandarbeyla,SO,80.04,broken clouds,9.4942,50.8122,JABIR HOTEL
